"UserId","cluster_stage1","cluster_stage2","cluster_stage3","gender","majorClass","isPassExam"
"2012213830","7","7","5","1","1","1"
"2013212052","1","1","7","2","3","0"
"2013212161","5","5","5","2","2","0"
"2013212168","4","3","5","2","2","1"
"2013213974","1","3","7","1","2","0"
"2013214055","5","5","5","2","2","0"
"2013214086","7","4","1","1","1","1"
"2013214223","1","2","5","2","1","0"
"2013214466","3","5","5","2","2","1"
"2014210428","2","5","5","2","1","1"
"2014210590","4","1","4","1","2","1"
"2014210607","1","1","1","1","2","1"
"2014210660","1","2","2","2","1","1"
"2014210687","2","2","5","2","1","1"
"2014210691","1","3","1","2","1","0"
"2014210967","1","3","5","1","1","0"
"2014210975","1","3","3","1","1","0"
"2014211000","3","1","3","1","1","0"
"2014211393","3","3","1","1","2","0"
"2014211482","5","2","1","2","2","1"
"2014211963","5","1","5","2","3","0"
"2014211969","4","3","1","2","3","0"
"2014211978","1","3","1","2","3","0"
"2014211981","2","1","1","2","3","0"
"2014211989","7","5","7","2","3","1"
"2014211990","3","3","1","1","3","0"
"2014212007","5","5","5","2","3","0"
"2014212008","2","5","1","2","3","0"
"2014212024","1","1","1","1","3","1"
"2014212026","5","3","7","2","3","0"
"2014212035","5","5","5","2","3","0"
"2014212037","3","1","5","1","3","0"
"2014212042","3","1","5","1","3","1"
"2014212044","5","2","7","2","3","0"
"2014212049","1","5","1","2","3","0"
"2014212054","5","2","1","1","3","0"
"2014212085","1","1","7","1","3","0"
"2014212089","1","1","7","2","3","0"
"2014212094","1","1","7","2","3","0"
"2014212104","1","5","5","2","3","0"
"2014212109","2","3","5","1","3","0"
"2014212121","5","1","3","2","3","1"
"2014212127","4","1","1","2","3","1"
"2014212129","1","1","7","2","3","0"
"2014212130","4","5","5","2","3","0"
"2014212134","7","1","1","2","3","0"
"2014212142","1","1","5","2","3","0"
"2014212187","5","5","5","1","2","0"
"2014212200","5","1","1","1","2","1"
"2014212202","5","4","3","2","2","0"
"2014212230","5","2","2","2","1","0"
"2014212263","2","2","5","2","2","0"
"2014212442","1","5","7","1","1","0"
"2014212590","1","3","1","2","1","0"
"2014213155","3","3","5","1","3","1"
"2014213160","5","1","7","1","3","1"
"2014213902","1","1","3","1","1","1"
"2014213904","5","2","6","1","1","0"
"2014213906","2","2","2","1","1","0"
"2014213907","1","3","1","1","1","0"
"2014213922","5","5","5","2","1","0"
"2014213927","5","5","7","2","1","1"
"2014213945","7","2","2","1","1","0"
"2014213953","1","1","7","1","1","0"
"2014213957","3","3","6","2","1","0"
"2014213964","1","1","2","1","1","0"
"2014213965","1","3","7","1","1","0"
"2014213971","1","1","1","1","1","1"
"2014213972","3","7","7","1","1","1"
"2014213974","1","3","3","1","1","1"
"2014213978","5","2","3","2","1","0"
"2014213985","1","4","3","2","1","0"
"2014214001","4","4","4","2","1","1"
"2014214008","5","5","5","2","1","0"
"2014214012","2","1","7","2","1","0"
"2014214015","1","2","5","1","1","1"
"2014214020","3","3","7","1","1","0"
"2014214021","3","4","5","1","1","1"
"2014214024","5","5","5","2","1","0"
"2014214029","1","1","7","1","1","0"
"2014214034","1","1","3","2","1","0"
"2014214041","1","1","4","1","1","0"
"2014214045","1","1","6","2","1","0"
"2014214058","1","3","6","1","1","0"
"2014214059","5","5","7","2","1","0"
"2014214064","3","2","2","1","1","0"
"2014214140","3","5","5","1","1","0"
"2014214141","1","1","7","1","1","1"
"2014214143","5","5","5","2","1","0"
"2014214167","5","5","1","2","1","0"
"2014214175","1","5","5","2","1","0"
"2014214189","2","1","2","2","1","0"
"2014214198","2","3","5","2","1","0"
"2014214206","5","5","3","2","1","1"
"2014214212","3","1","3","1","1","1"
"2014214232","3","3","1","1","1","1"
"2014214485","1","5","5","2","2","0"
"2014214840","1","3","3","1","3","1"
"2015210040","5","3","5","2","2","1"
"2015210077","2","1","1","1","1","0"
"2015210115","5","7","5","1","1","0"
"2015210171","3","1","5","2","1","0"
"2015210176","5","1","5","2","1","0"
"2015210195","5","3","1","2","1","0"
"2015210211","5","4","5","2","2","0"
"2015210245","1","2","1","2","2","0"
"2015210321","5","2","1","2","2","1"
"2015210322","2","3","1","2","1","0"
"2015210323","1","2","5","2","2","0"
"2015210324","2","1","3","2","2","0"
"2015210326","1","1","1","2","2","0"
"2015210328","2","5","1","2","2","0"
"2015210329","2","2","5","1","2","1"
"2015210330","5","5","1","2","2","0"
"2015210331","2","5","5","2","2","0"
"2015210332","1","3","3","2","2","1"
"2015210333","1","1","2","2","2","0"
"2015210334","5","2","1","2","2","1"
"2015210335","5","1","5","2","2","0"
"2015210336","5","5","5","1","2","0"
"2015210337","3","4","7","2","2","1"
"2015210338","1","1","1","2","2","0"
"2015210339","1","1","7","2","2","1"
"2015210340","1","1","4","2","2","0"
"2015210341","7","5","1","1","2","0"
"2015210342","2","2","7","1","2","0"
"2015210343","5","5","5","2","2","0"
"2015210344","1","2","1","2","2","1"
"2015210348","5","7","5","2","2","0"
"2015210349","1","1","3","2","2","0"
"2015210351","1","3","7","2","1","1"
"2015210352","2","1","5","2","2","0"
"2015210353","1","1","3","1","2","0"
"2015210354","5","2","5","2","2","0"
"2015210355","4","1","7","2","2","0"
"2015210359","1","2","5","2","2","1"
"2015210361","5","2","5","2","2","1"
"2015210362","1","1","1","2","2","1"
"2015210363","5","5","5","2","2","0"
"2015210364","1","4","1","2","2","0"
"2015210365","2","3","7","1","2","1"
"2015210367","1","1","3","2","2","0"
"2015210368","1","1","1","2","2","0"
