id,1,2,3,4,5,6,7,8,9
1,1001,0.73,126,62,24,1,39,0,1
3,1002,94.66,1398,618,235,135,410,0,0
4,1003,94.63,1048,628,175,103,142,0,0
5,1004,85.06,1866,350,1075,119,322,0,0
6,1005,88.77,1243,627,180,176,260,0,0
7,1006,93.9,736,290,149,133,164,0,0
8,1007,12.56,133,51,21,9,52,0,1
9,1008,68.19,1045,207,608,69,161,0,0
11,1009,61.82,842,451,200,24,167,0,0
13,1010,75.16,889,489,136,69,195,0,0
14,1011,77.43,703,402,93,52,156,0,0
15,1012,80.27,841,373,149,104,215,0,0
16,1013,72.34,1035,344,337,100,254,0,0
17,1014,75.48,942,423,189,110,220,0,0
18,1015,80.81,663,104,201,94,264,0,0
19,1016,83.99,581,211,161,72,137,0,0
21,1017,89,655,271,130,75,179,0,0
22,1018,95.89,1536,272,837,77,350,0,0
24,1019,94.28,3023,675,948,59,1341,0,0
25,1020,93.4,1212,351,474,44,343,0,0
28,1021,76.22,1107,104,374,244,385,0,0
29,1022,87.09,1535,252,129,191,673,290,0
30,1023,60.87,701,200,228,111,162,0,0
31,1024,62.48,512,273,134,79,26,0,0
32,1025,84.74,794,383,210,94,107,0,0
33,1026,80.78,946,343,251,132,220,0,0
42,1027,92.96,850,92,233,207,318,0,0
43,1028,91.64,1374,236,71,167,604,296,0
46,1029,95.03,1028,330,143,84,471,0,0
48,1030,93.23,1673,793,101,143,636,0,0
49,1031,92.61,1335,532,342,149,312,0,0
51,1032,70.71,860,370,191,111,137,51,0
53,1033,94.44,1134,445,322,41,326,0,0
54,1034,98.03,1049,299,233,111,405,1,0
55,1035,91.14,1080,110,366,79,525,0,0
56,1036,59.57,1075,481,169,84,341,0,1
58,1037,71.61,1159,526,179,87,367,0,0
60,1038,76.8,1158,662,148,145,203,0,0
63,1039,61.23,626,268,148,59,143,8,0
65,1040,97.29,1191,477,164,137,413,0,0
67,1041,98.45,854,379,160,54,256,5,0
68,1042,97.44,1646,308,1009,77,252,0,0
69,1043,91.83,2153,968,240,115,727,103,0
72,1044,83.65,1317,229,787,61,240,0,0
73,1045,9.68,369,60,245,13,51,0,1
78,1046,80.55,885,382,161,97,244,1,0
84,1047,64.68,1751,939,226,160,426,0,0
85,1048,79.24,1223,365,113,70,675,0,0
86,1049,88.54,1138,97,192,210,639,0,0
89,1050,94.33,2498,667,1250,146,433,2,0
93,1051,79.83,133,0,0,68,65,0,0
96,1052,53.96,47,1,0,3,43,0,1
97,1053,88.6,1443,623,196,136,488,0,0
99,1054,86.6,215,0,1,25,189,0,0
100,1055,61.89,678,279,125,57,217,0,0
103,1056,95.96,242,0,0,45,197,0,0
104,1057,98.93,161,0,2,28,131,0,0
110,1058,13.62,93,4,6,38,45,0,1
111,1059,66.52,614,206,17,111,280,0,0
113,1060,64.35,531,165,96,56,214,0,0
116,1061,81.05,916,218,433,63,188,14,0
117,1062,93.04,872,155,559,47,111,0,0
118,1063,98.74,1184,288,149,112,385,250,0
119,1064,99.63,984,255,144,88,300,197,0
120,1065,90.61,1202,486,268,138,310,0,0
121,1066,89.52,2108,519,916,187,486,0,0
124,1067,65.31,1245,644,127,132,342,0,0
125,1068,78.24,497,5,6,179,307,0,0
126,1069,90.16,597,8,8,229,352,0,0
127,1070,96.8,1697,378,521,113,685,0,0
128,1071,93.99,1672,429,363,138,742,0,0
131,1072,80.85,527,197,326,0,4,0,0
139,1073,94.7,807,623,156,0,28,0,0
145,1074,95.43,1375,608,154,135,478,0,0
153,1075,86.93,764,446,120,88,106,4,0
154,1076,72.86,1085,516,208,124,237,0,0
155,1077,56.09,2009,1104,532,89,284,0,1
156,1078,84.88,629,89,260,69,211,0,0
157,1079,81.62,764,81,222,91,370,0,0
158,1080,93.79,1164,539,274,68,282,1,0
161,1081,94.23,740,171,253,152,164,0,0
