,Id,UserId,UserClass,term,grade,gender,majorClass,totalLearningTime,TimeClassNumber,LocationClassNumber,isPassExam
0,1,210712,F,201601,2015,male,science,84,1,2,YES
1,2,211067,C,201601,2015,male,literature,41813,2,2,NO
2,3,211804,E,201601,2015,female,art,26418,4,1,NO
3,4,212911,D,201701,2016,female,art,,3,5,NO
4,5,213830,C,201701,2016,male,science,34234,2,2,NO
5,6,213903,E,201602,2016,male,science,48619,3,1,NO
6,7,210314,G,201601,2015,female,literature,280,1,1,YES
7,8,211991,C,201601,2015,male,art,95651,3,2,YES
8,9,212052,A,201601,2015,female,art,,6,2,YES
9,10,212161,E,201701,2016,female,literature,111480,4,1,YES
10,11,212168,D,201701,2016,female,literature,98911,3,4,NO
11,12,213974,D,201701,2016,male,literature,,3,4,YES
12,13,214055,B,201601,2015,female,literature,94785,6,2,YES
13,14,214086,D,201601,2015,male,science,31456,3,5,NO
14,15,214104,A,201701,2016,female,science,130529,6,2,YES
15,16,214223,A,201601,2015,female,science,161644,6,3,YES
16,17,214466,C,201601,2015,female,literature,,3,2,NO
17,18,214778,E,201701,2016,female,art,27,2,1,YES
18,19,210410,G,201701,2016,female,science,717,1,1,YES
19,20,210428,E,201602,2016,female,science,88659,5,1,NO
20,21,210453,C,201701,2016,male,science,108873,2,5,NO
21,22,210590,D,201702,2017,male,literature,,3,5,NO
22,23,210607,A,201601,2015,male,literature,202229,6,7,YES
23,24,210660,B,201601,2015,female,science,39657,6,4,NO
24,25,210687,B,201601,2015,female,science,123594,6,3,YES
25,26,210691,D,201701,2016,female,science,94404,6,3,YES
26,27,210967,A,201701,2016,male,science,130149,4,8,YES
27,28,210975,D,201701,2016,male,science,73843,2,3,YES
28,29,211000,A,201701,2016,male,science,87055,4,5,YES
29,30,211040,B,201601,2015,male,science,122594,5,2,NO
30,31,211379,D,201601,2015,male,literature,115884,4,3,NO
31,32,211393,D,201601,2015,male,literature,70264,4,9,YES
32,33,211482,C,201601,2015,female,literature,122135,5,3,YES
33,34,211951,A,201701,2016,male,art,161412,5,3,NO
34,35,211955,E,201602,2016,female,art,142413,3,1,YES
35,36,211963,D,201601,2015,female,art,,5,2,YES
36,37,211969,D,201601,2015,female,art,130611,4,3,YES
37,38,211978,A,201601,2015,female,art,131133,6,5,YES
38,39,211981,D,201601,2015,female,art,113540,3,5,YES
39,40,211986,D,201601,2015,male,art,115717,2,6,NO
40,41,211989,F,201701,2016,female,art,93738,1,2,NO
41,42,211990,B,201701,2016,male,art,783014,4,6,YES
42,43,212004,E,201601,2013,female,art,127071,5,1,NO
43,44,212007,A,201601,2015,female,art,85288,5,2,YES
44,45,212008,D,201602,2015,female,art,118985,4,3,YES
45,46,212009,A,201601,2015,female,art,,5,2,YES
46,47,212024,A,201701,2016,male,art,156284,4,5,NO
47,48,212026,C,201701,2016,female,art,85478,4,2,YES
48,49,212035,E,201602,2016,female,art,148224,4,1,YES
49,50,212037,A,201701,2016,male,art,82474,5,2,YES
50,51,212042,A,201601,2015,male,art,281284,6,9,NO
51,52,212044,C,201601,2015,female,art,173757,4,2,YES
52,53,212049,A,201701,2015,female,art,139930,5,3,YES
53,54,212053,F,201601,2015,female,art,230,1,2,NO
54,55,212054,B,201601,2015,male,art,213192,5,2,YES
55,56,212076,F,201701,2017,male,art,59676,1,2,NO
56,57,212085,A,201701,2016,male,art,179624,4,4,YES
57,58,212089,A,201701,2016,female,art,59274,6,3,YES
58,59,212094,A,201702,2017,female,art,129732,5,3,YES
59,60,212104,B,201601,2015,female,art,,4,3,YES
60,61,212109,B,201601,2015,male,art,77702,4,6,YES
61,62,212110,A,201601,2015,female,art,8334,5,2,YES
62,63,212120,A,201601,2015,male,art,135326,4,5,NO
63,64,212121,A,201602,2016,female,art,120554,5,3,YES
64,65,212127,A,201701,2016,female,art,101315,6,4,NO
65,66,212129,D,201701,2016,female,art,154912,3,4,YES
66,67,212130,D,201601,2015,female,art,79876,5,2,YES
67,68,212134,A,201601,2015,female,art,151864,5,5,YES
68,69,212142,A,201701,2015,female,art,137951,5,4,YES
69,70,212145,B,201601,2015,male,art,198594,4,3,NO
70,71,212187,E,201601,2015,male,literature,94019,5,1,YES
71,72,212192,G,201701,2016,female,literature,52,1,1,YES
72,73,212198,C,201701,2016,female,literature,35,2,2,YES
73,74,212200,A,201701,2016,male,literature,155809,5,7,NO
74,75,212202,C,201702,2017,female,literature,100184,3,3,YES
75,76,212230,B,201701,2015,female,science,147272,4,4,YES
76,77,212263,C,201601,2015,female,literature,152915,5,2,YES
77,78,212442,D,201601,2015,male,science,66919,3,3,YES
78,79,212590,A,201601,2015,female,science,147680,6,3,YES
79,80,212812,E,201601,2015,female,science,76460,5,1,NO
80,81,213155,D,201601,2015,male,art,8708,2,3,NO
81,82,213160,D,201601,2015,male,art,35217,3,3,NO
82,83,213902,D,201601,2015,male,science,117773,6,4,NO
83,84,213904,B,201701,2016,male,science,63030,5,2,YES
84,85,213906,A,201601,2015,male,science,83157,6,4,YES
85,86,213907,A,201601,2015,male,science,133836,6,7,YES
86,87,213922,E,201601,2015,female,science,91439,6,1,YES
87,88,213927,B,201701,2016,female,science,113040,5,2,NO
88,89,213945,C,201701,2016,male,science,92187,3,3,YES
89,90,213952,F,201601,2013,female,science,494,1,2,YES
90,91,213953,A,201601,2015,male,science,91623,6,4,YES
91,92,213957,D,201601,2015,female,science,91022,3,5,YES
92,93,213964,A,201601,2015,male,science,123394,5,6,YES
93,94,213965,D,201601,2015,male,science,70214,3,4,YES
94,95,213971,A,201701,2016,male,science,106767,5,5,YES
95,96,213972,C,201701,2016,male,science,26130,3,5,NO
96,97,213974,D,201601,2015,male,science,92993,6,5,NO
97,98,213978,B,201701,2016,female,science,72888,5,2,YES
98,99,213985,A,201702,2017,female,science,100646,5,4,YES
99,100,213996,A,201601,2015,male,science,267545,6,2,NO
100,101,214001,C,201701,2016,female,science,85461,2,4,NO
101,102,214008,E,201601,2015,female,science,77639,6,1,YES
102,103,214012,B,201601,2015,female,science,108839,4,2,YES
103,104,214015,D,201601,2015,male,science,122451,3,3,NO
104,105,214020,A,201601,2015,male,science,82582,4,3,YES
105,106,214021,A,201701,2016,male,science,26797,4,3,NO
106,107,214024,E,201701,2016,female,science,119312,5,1,YES
107,108,214029,A,201601,2015,male,science,105541,6,5,YES
108,109,214034,A,201601,2015,female,science,74991,5,6,YES
109,110,214038,F,201601,2015,male,science,13,1,2,YES
110,111,214041,A,201601,2015,male,science,110984,5,3,YES
111,112,214045,D,201701,2016,female,science,101181,4,5,YES
112,113,214058,D,201601,2015,male,science,140093,4,4,YES
113,114,214059,E,201601,2015,female,science,76435,3,1,YES
114,115,214064,A,201701,2016,male,science,83034,5,4,YES
115,116,214083,G,201601,2015,female,science,266,1,1,NO
116,117,214116,F,201601,2015,male,science,4,1,2,NO
117,118,214140,D,201601,2015,male,science,81314,3,2,YES
118,119,214141,D,201601,2015,male,science,65173,4,3,NO
119,120,214142,D,201601,2015,male,science,11515,4,7,YES
120,121,214143,E,201701,2016,female,science,240016,5,1,YES
121,122,214167,B,201701,2016,female,science,99331,5,2,YES
122,123,214175,E,201701,2016,female,science,83273,5,1,YES
123,124,214189,B,201601,2015,female,science,95960,5,6,YES
124,125,214198,A,201601,2015,female,science,200556,5,4,YES
125,126,214206,C,201601,2015,female,science,,3,2,NO
126,127,214212,A,201601,2015,male,science,149005,5,5,NO
127,128,214232,D,201601,2015,male,science,2211459,3,6,NO
128,129,214485,D,201601,2015,female,literature,101024,4,4,YES
129,130,214503,A,201601,2015,female,literature,88757,5,5,YES
130,131,214840,D,201701,2016,male,art,88207,2,6,NO
131,132,210040,C,201701,2016,female,literature,53855,3,4,NO
132,133,210047,C,201601,2015,female,science,8813,2,2,YES
133,134,210077,A,201601,2015,male,science,110603,6,5,YES
134,135,210115,D,201601,2015,male,science,36421,2,2,YES
135,136,210131,C,201702,2017,male,science,82707,2,3,YES
